Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
31.83,6.72,21.15,31.83,5.8,0,5.8,13.3,2,2014,0,0,0,4.63
29.33,13.83,41.26,32.67,5.8,0,4.6,39.4,2,2014,0,0,0,2.13
27.78,7.61,28.2,30.33,11.4,0,6.2,30,2,2014,0,0,0,0.58
31.28,8.33,24.12,31.11,4.7,0,6.2,30,2,2014,0,0,0,4.08
23,13.17,54.94,24.96,10.3,0,5,15,2,2014,0,0,0,-4.2
29.89,9,27.36,30.33,11.4,0,6.2,40,2,2014,0,0,0,2.69
27.89,16.22,50.46,31.5,10.3,0,6.2,40,2,2014,0,0,0,0.69
31.17,14.17,35.61,31.5,5.8,0,6.2,50,2,2014,0,0,0,3.97
23.83,19.22,76.12,24.41,4.7,0,3.4,65,2,2014,0,0,0,-3.37
31,15.83,40.82,32.33,5.8,0,5.4,50,2,2014,0,0,0,3.8
28.17,17.44,54.36,31.5,6.9,0,5.5,60.5,2,2014,0,0,0,0.97
26.61,16.11,53.41,29.94,8.1,0,6.2,63.3,2,2014,0,0,0,-0.59
28.78,16.72,48.31,29.94,5.8,0,6.2,67.5,2,2014,0,0,0,1.58
24.56,14.78,55.17,28.22,2.2,0,6.2,40,2,2014,0,0,0,-2.64
30.89,12.72,33.32,32.17,6.9,0,6.2,55,2,2014,0,0,0,3.69
27.22,18.72,60.61,32.33,15,0,4.8,68.5,2,2014,0,0,0,0.02
29.67,17.5,48.13,31.78,9.2,0,6.2,55,2,2014,0,0,0,2.47
24.17,18.39,71.02,25.04,9.2,0,5,67,2,2014,0,0,0,-3.03
29.61,16.89,46.44,32.33,9.2,0,6.2,51.7,2,2014,0,0,0,2.41
27,17.33,57.39,31.78,9.2,0,5.1,61,2,2014,0,0,0,-0.2
25.83,19.33,68.53,32.39,5.8,0,5.6,46.6,2,2014,0,0,0,-1.37
31.17,17.33,43.99,33.44,4.7,0,6.2,59.9,2,2014,0,0,0,3.97
22.56,17.78,74.85,23.33,4.7,0,4.6,55.1,2,2014,0,0,0,-4.64
30.67,14.28,37.57,33,5.8,0,5.7,37.1,2,2014,0,0,0,3.47
28.11,14.67,47.86,31.94,8.1,0,5.9,31.9,2,2014,0,0,0,0.91
31.17,11.06,29,31.72,8.1,0,6.2,30,2,2014,0,0,0,3.97
25.33,13.5,50.12,28.39,12.8,0,6.2,15,2,2014,0,0,0,-1.87
